Price,Score,Reviews_number,Experience,Status,Video_presentation,Photo,Adults,All,Children 1-3 years old,Children 4-5 years old,Children 6-7 years old,Pupils of 1-4 grades,Pupils of 10-11 grades,Pupils of 5-9 grades,Students
2500,4.9,21,13,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.9,44,19,4,1,1,1,0,0,0,0,0,1,0,1
800,5.0,35,11,4,0,1,1,0,0,0,0,0,1,0,0
2000,4.7,46,16,4,0,1,1,0,0,0,1,0,1,0,1
1500,5.0,63,14,4,0,0,0,1,0,0,0,0,0,0,0
2400,4.9,14,16,4,1,1,1,0,0,0,0,0,1,0,1
2000,4.9,74,15,5,0,1,1,0,0,0,0,0,1,0,1
1000,4.8,62,32,4,0,0,0,1,0,0,0,0,0,0,0
1800,5.0,37,18,4,0,1,1,0,0,1,1,0,1,0,1
1000,4.9,12,7,2,0,1,1,0,0,0,0,0,1,0,1
1200,4.8,28,4,4,1,1,0,0,0,0,0,0,1,0,0
1000,5.0,24,6,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.9,54,10,4,1,1,1,0,0,0,0,0,1,0,1
2500,4.8,74,13,4,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,27,5,4,1,1,1,0,0,1,1,0,1,0,1
2000,5.0,23,9,5,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,24,12,4,1,1,0,0,0,0,0,0,0,1,0
2000,4.8,25,22,4,1,1,1,0,0,1,1,0,0,1,1
1000,4.9,41,11,4,1,1,0,0,0,0,0,0,1,0,0
1350,5.0,22,17,2,1,1,1,0,0,0,0,0,1,0,0
1500,4.8,20,14,4,1,1,0,0,0,0,0,0,1,0,0
1500,5.0,17,9,4,0,1,0,0,0,0,0,0,0,1,0
2000,5.0,9,12,4,1,1,1,0,0,0,0,0,1,0,1
1800,4.8,36,7,4,0,1,1,0,0,0,0,0,1,0,0
1500,5.0,46,12,4,0,1,1,0,0,0,0,0,1,0,0
1500,4.9,50,10,4,0,1,1,0,0,0,0,0,1,0,1
1500,5.0,27,20,5,1,1,1,0,0,0,0,0,1,0,1
4000,4.9,18,11,4,1,1,0,0,0,0,0,0,1,0,0
800,5.0,45,17,4,0,1,0,0,0,0,0,0,1,0,0
1300,4.9,22,9,4,1,1,1,0,0,0,0,0,1,0,1
2700,5.0,23,32,4,1,1,1,0,0,0,1,0,1,0,1
2500,5.0,33,25,4,0,1,1,0,0,1,1,0,1,0,1
1200,4.8,59,9,3,0,1,1,0,0,0,0,0,1,0,1
2000,5.0,11,28,4,1,1,0,0,0,0,0,0,1,0,0
2000,4.9,42,25,4,0,0,0,1,0,0,0,0,0,0,0
4000,5.0,39,13,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.9,83,8,4,1,1,1,0,0,0,0,0,1,0,1
3000,4.9,78,26,4,1,1,1,0,0,0,0,0,0,1,0
1400,5.0,47,3,4,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,55,15,5,1,1,1,0,0,0,0,0,1,0,1
2500,4.9,57,18,4,1,1,1,0,0,0,1,0,1,0,1
2800,4.9,52,19,4,1,1,0,0,0,0,0,0,1,0,1
4000,5.0,50,38,4,1,1,0,0,0,0,0,0,1,0,1
3500,4.9,38,8,4,1,1,0,0,0,0,0,0,1,0,0
1500,5.0,32,17,4,0,1,1,0,0,0,1,0,1,0,1
2000,4.9,40,10,5,1,1,0,0,1,1,1,0,1,0,1
3000,4.9,72,41,4,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,27,30,4,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,2,5,4,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,37,14,4,1,1,1,0,0,0,1,0,1,0,1
1000,4.9,62,16,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.9,33,19,4,1,1,0,0,0,0,1,0,0,0,0
3000,5.0,27,20,4,1,1,1,0,0,0,0,0,1,0,1
2000,4.9,110,14,2,0,1,1,0,0,0,0,0,1,0,1
1500,4.9,69,10,4,1,1,0,0,0,0,0,0,1,0,0
2000,5.0,76,47,5,0,1,0,0,0,0,0,0,1,0,1
1000,5.0,40,9,4,1,1,1,0,1,1,1,0,1,0,1
1000,5.0,32,35,4,1,1,0,0,0,0,0,0,1,0,0
1500,5.0,37,5,4,1,1,0,0,0,0,0,0,1,0,0
3000,5.0,24,7,4,1,1,1,0,0,0,0,0,1,0,1
1300,4.9,31,16,4,1,1,1,0,0,0,0,0,1,0,1
1700,4.9,35,12,4,1,1,0,0,1,1,1,0,0,1,0
5000,4.8,35,7,4,1,1,1,0,0,0,0,0,1,0,0
1500,5.0,41,13,4,0,1,1,0,0,0,0,0,1,0,1
2700,4.9,67,23,4,0,1,1,0,1,1,1,0,1,0,1
2500,5.0,21,12,4,1,1,1,0,0,0,0,0,1,0,0
1400,5.0,52,12,4,0,1,1,0,0,0,0,0,1,0,0
2000,4.9,69,15,2,0,0,0,1,0,0,0,0,0,0,0
1800,5.0,62,15,4,0,1,1,0,0,0,0,0,1,0,1
1800,5.0,11,4,1,1,1,0,0,0,0,0,0,1,0,0
2500,4.8,48,7,4,0,1,1,0,0,0,1,0,1,0,1
1100,5.0,18,27,4,1,1,1,0,0,0,0,0,1,0,1
2400,4.9,73,20,5,0,1,1,0,0,0,0,0,1,0,1
3000,4.9,50,27,4,0,1,1,0,0,0,0,0,1,0,1
2300,5.0,24,7,4,1,1,0,0,0,0,0,0,1,0,0
2000,4.9,25,15,4,0,1,1,0,0,0,1,0,1,0,1
3000,4.8,56,8,4,1,1,1,0,0,0,0,0,1,0,1
1800,4.9,12,11,4,1,1,1,0,0,1,1,0,1,0,1
2000,5.0,9,17,4,1,1,1,0,0,0,0,0,1,0,1
750,4.9,41,19,4,0,1,1,0,0,1,1,0,1,0,1
800,4.9,30,26,4,1,1,0,0,0,0,0,0,0,1,0
1100,4.8,46,19,4,0,1,1,0,0,0,0,0,1,0,1
1000,4.9,54,21,2,0,1,1,0,0,0,0,0,1,0,0
1800,4.9,23,10,4,1,1,1,0,0,0,0,0,1,0,0
2000,4.8,69,37,2,0,1,0,0,0,0,0,0,1,0,0
1350,4.9,21,16,4,1,1,0,0,0,0,0,0,1,0,0
2500,4.8,34,6,4,0,1,0,0,0,0,0,0,1,0,0
1500,5.0,32,25,4,0,1,1,0,0,0,0,0,1,0,1
1200,4.9,37,7,4,0,0,0,1,0,0,0,0,0,0,0
1200,4.9,33,10,4,0,0,0,1,0,0,0,0,0,0,0
1300,5.0,14,16,4,0,0,0,1,0,0,0,0,0,0,0
800,4.6,14,5,4,1,1,0,0,0,0,0,0,1,0,1
1000,4.9,20,5,2,0,1,0,0,1,1,1,0,1,0,0
1000,5.0,11,7,4,1,1,0,0,0,0,0,0,1,0,1
1500,5.0,30,10,4,0,1,0,0,0,0,0,0,1,0,0
1100,4.9,32,4,4,0,1,0,0,0,0,0,0,1,0,0
1500,5.0,7,38,4,0,0,0,1,0,0,0,0,0,0,0
1500,5.0,34,9,4,0,1,0,0,0,0,1,0,1,0,0
1000,4.8,52,13,4,0,1,0,0,0,0,0,0,1,0,0
3000,4.9,19,6,4,0,0,0,1,0,0,0,0,0,0,0
1000,5.0,7,14,4,1,1,1,0,0,0,0,0,1,0,1
1400,5.0,12,7,4,0,0,0,1,0,0,0,0,0,0,0
1000,4.9,51,15,4,0,1,1,0,0,0,0,0,1,0,1
2500,4.9,17,13,2,0,0,0,1,0,0,0,0,0,0,0
800,5.0,21,15,5,0,1,1,0,0,0,1,0,1,0,1
1500,4.9,26,11,4,0,1,1,0,0,0,0,0,1,0,1
3000,4.9,45,19,2,1,1,0,0,0,0,0,0,1,0,0
800,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1100,4.7,5,9,4,1,1,1,0,0,0,1,0,1,0,1
1250,4.7,22,7,2,0,1,1,0,0,0,0,0,1,0,1
1500,5.0,11,7,4,1,1,1,0,0,0,0,0,1,0,1
1000,5.0,31,23,4,0,1,1,0,0,0,1,0,1,0,1
1200,4.9,12,2,1,1,1,0,0,0,0,0,1,0,0,0
1500,5.0,22,13,4,0,1,1,0,0,0,0,0,1,0,0
1000,5.0,23,6,4,0,1,1,0,0,0,0,0,1,0,1
1200,4.8,12,20,5,1,1,1,0,0,0,0,0,1,0,1
1700,4.9,51,41,5,0,1,0,0,0,0,0,0,1,0,1
2000,5.0,63,23,5,0,1,0,0,0,0,0,0,1,0,0
1400,4.9,59,16,4,0,1,1,0,0,0,0,0,1,0,1
1000,4.9,8,4,4,1,1,0,0,0,0,0,0,1,0,0
1400,5.0,5,3,4,1,1,0,0,0,0,0,0,1,0,0
2700,4.9,21,8,5,0,1,1,0,0,0,0,0,1,0,1
2000,5.0,21,20,4,0,1,1,0,0,0,1,0,1,0,1
1350,4.9,5,11,4,1,1,1,0,1,1,1,0,0,1,0
2300,4.9,23,28,4,0,1,0,0,0,0,0,0,1,0,0
1500,5.0,8,14,4,1,1,1,0,0,0,0,0,1,0,1
1300,4.8,15,16,2,0,1,1,0,0,0,0,0,1,0,1
2000,5.0,15,22,4,0,1,1,0,0,0,0,0,1,0,1
1500,5.0,13,11,2,0,1,0,0,0,0,0,0,1,0,0
1700,5.0,29,12,6,0,1,1,0,1,1,1,0,1,0,1
2000,5.0,30,22,4,0,1,0,0,0,0,0,0,1,0,0
2000,4.8,8,6,4,1,1,1,0,0,0,0,0,1,0,1
900,5.0,14,17,2,1,1,0,0,0,0,0,0,1,0,1
700,5.0,22,44,4,0,1,1,0,0,0,0,0,1,0,1
2400,4.8,15,9,6,1,1,1,0,0,1,1,0,1,0,1
1500,5.0,30,20,4,0,1,1,0,0,0,0,0,1,0,1
1750,4.8,45,9,2,0,1,1,0,0,0,0,0,1,0,1
800,4.5,20,9,4,1,1,1,0,0,0,0,0,1,0,1
1350,4.5,56,42,5,0,1,0,0,0,0,0,0,1,0,1
2000,4.9,33,23,4,0,0,0,1,0,0,0,0,0,0,0
750,4.7,12,17,4,0,0,0,1,0,0,0,0,0,0,0
1500,4.9,51,32,4,0,1,1,0,0,1,1,0,1,0,1
1200,5.0,22,34,4,0,0,0,1,0,0,0,0,0,0,0
1000,5.0,15,8,4,1,1,1,0,0,0,1,0,1,0,1
1500,4.9,76,20,4,0,1,1,0,0,1,1,0,1,0,1
1200,5.0,22,5,4,0,1,0,0,0,0,0,0,0,1,0
1250,4.9,96,29,4,0,1,0,0,0,0,0,0,1,0,1
1200,5.0,33,5,4,0,1,1,0,0,0,0,0,1,0,1
2500,4.9,16,12,4,1,1,0,0,0,0,0,0,1,0,0
3000,4.9,56,27,4,0,1,1,0,0,0,1,0,1,0,1
1700,5.0,12,15,4,1,1,1,0,0,0,0,0,1,0,1
3000,5.0,32,6,2,1,1,1,0,0,0,0,0,1,0,1
2500,5.0,29,18,4,0,0,0,1,0,0,0,0,0,0,0
1600,4.9,49,12,4,0,1,1,0,0,0,0,0,0,0,1
1000,4.8,16,16,4,0,1,1,0,0,0,1,0,1,0,1
2300,5.0,5,5,4,1,1,1,0,0,0,1,0,1,0,1
1200,4.9,24,31,4,0,1,1,0,0,0,0,0,0,0,1
1100,4.9,10,9,4,1,1,1,0,0,0,1,0,1,0,0
1500,5.0,18,13,4,0,1,1,0,0,0,0,0,1,0,1
2000,4.8,65,10,5,0,1,1,0,0,0,0,0,1,0,1
1000,4.9,13,6,4,0,0,0,1,0,0,0,0,0,0,0
950,4.9,24,12,4,0,1,1,0,1,1,1,0,0,1,1
2000,5.0,18,10,4,0,1,1,0,0,0,0,0,1,0,1
2500,5.0,26,11,4,0,1,1,0,0,1,1,0,1,0,1
1500,4.9,10,16,4,1,1,1,0,0,0,0,0,1,0,1
3000,5.0,38,22,4,0,1,1,0,0,0,0,0,1,0,1
3000,5.0,13,14,6,0,1,1,0,0,0,0,0,1,0,1
1200,4.9,14,24,4,1,1,0,0,0,0,0,0,1,0,0
1500,5.0,10,7,4,1,1,1,0,0,0,0,0,1,0,1
3500,4.8,57,25,4,0,1,1,0,0,0,0,0,1,0,1
2000,4.9,29,11,6,0,1,1,0,0,1,1,0,1,0,1
2000,5.0,20,23,4,1,1,1,0,0,1,1,0,1,0,1
1500,4.9,26,20,4,0,1,1,0,0,0,0,0,1,0,1
1200,5.0,30,8,4,0,1,1,0,0,0,0,0,1,0,1
950,4.8,14,12,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.9,30,7,4,0,1,0,0,0,0,0,0,1,0,1
1200,4.6,65,16,4,0,1,1,0,0,0,0,0,1,0,0
1500,5.0,25,29,4,0,0,0,1,0,0,0,0,0,0,0
1000,5.0,19,7,4,0,1,0,0,0,0,0,0,1,0,0
1500,4.8,60,20,4,0,1,0,0,0,0,0,0,1,0,0
1200,4.9,23,9,4,1,1,1,0,0,0,0,0,1,0,1
3000,5.0,10,9,4,0,1,1,0,0,0,0,0,1,0,1
1500,5.0,9,12,3,1,1,0,0,0,0,0,0,1,0,0
1300,5.0,36,37,5,0,1,1,0,0,0,0,0,1,0,1
1800,4.9,25,15,4,0,1,1,0,0,0,0,0,1,0,0
1350,4.9,11,40,4,0,1,1,0,0,0,0,0,1,0,0
2000,5.0,35,16,4,0,0,0,1,0,0,0,0,0,0,0
1350,4.9,59,23,4,0,1,1,0,0,1,1,0,1,0,1
1300,5.0,42,17,4,0,1,1,0,0,0,0,0,1,1,0
700,4.9,23,10,4,0,1,1,0,0,0,1,0,1,0,1
1600,4.9,24,6,4,0,1,0,0,0,0,0,0,1,0,0
700,4.8,7,9,4,1,1,0,0,0,0,0,0,1,0,1
1100,5.0,5,4,1,1,1,1,0,0,1,1,0,1,0,1
1000,5.0,12,15,4,1,1,1,0,0,0,1,0,1,0,1
1000,4.9,78,17,2,0,1,1,0,0,1,1,0,1,0,1
1300,5.0,33,12,4,0,1,1,0,0,0,0,0,1,0,1
1500,4.7,11,7,4,1,1,0,0,0,0,0,0,1,0,1
5000,5.0,37,11,4,0,1,1,0,0,0,1,0,1,0,1
1200,5.0,39,25,4,1,1,0,0,0,0,0,0,0,1,0
2500,5.0,12,15,4,1,1,1,0,0,1,1,0,1,0,1
1200,4.9,31,12,6,0,1,1,0,0,1,1,0,1,0,1
2500,4.8,7,12,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.7,10,33,4,1,1,1,0,0,0,0,0,1,0,1
2000,4.9,12,15,4,1,1,0,0,0,0,0,0,1,0,1
1200,4.9,68,18,4,0,1,1,0,0,1,1,0,1,0,0
900,5.0,13,2,1,1,1,0,0,0,0,0,0,1,0,0
2500,5.0,29,9,4,0,1,1,0,0,0,0,0,1,0,1
1500,4.8,48,17,4,0,1,0,0,0,0,0,0,1,0,1
1500,5.0,19,10,4,1,1,0,0,0,0,0,0,1,0,0
1000,4.9,13,18,4,0,0,0,1,0,0,0,0,0,0,0
2000,4.8,41,7,5,0,1,0,0,0,0,0,0,1,0,0
1000,4.9,31,5,4,0,1,0,0,0,0,0,0,1,0,0
600,5.0,32,16,4,0,1,1,0,0,0,1,0,1,0,1
3000,5.0,9,20,4,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,25,16,2,0,1,1,0,1,1,1,0,1,0,1
2500,5.0,22,7,5,0,1,0,0,0,0,1,0,1,0,1
1800,5.0,17,10,4,0,1,1,0,0,0,0,0,1,0,1
1200,5.0,25,10,4,0,1,0,0,0,0,0,0,1,0,0
1400,4.8,20,14,4,1,1,1,0,0,0,1,0,1,0,0
2000,5.0,23,31,5,0,1,1,0,0,0,0,0,1,0,1
1100,5.0,39,25,4,0,0,0,1,0,0,0,0,0,0,0
1700,5.0,8,14,4,0,0,0,1,0,0,0,0,0,0,0
1000,4.9,36,15,4,0,1,1,0,0,0,0,0,1,0,1
1350,5.0,21,11,4,0,1,1,0,0,0,0,0,1,0,1
1000,5.0,31,15,4,0,1,0,0,0,0,1,0,0,1,0
1000,4.9,30,4,1,0,1,1,0,0,0,1,0,0,1,0
1800,4.9,21,9,4,0,1,1,0,0,0,0,0,1,0,1
1500,5.0,53,18,4,0,1,1,0,1,1,1,0,1,0,1
1000,5.0,24,24,4,0,1,0,0,0,0,0,0,1,0,0
2000,4.9,15,10,4,1,1,1,0,0,0,0,0,1,0,1
1800,5.0,22,31,4,0,1,0,0,0,0,0,0,1,0,0
1200,5.0,48,20,5,0,1,1,0,1,1,1,0,1,0,1
3000,4.9,19,14,4,0,0,0,1,0,0,0,0,0,0,0
600,4.9,13,9,4,1,1,0,0,0,0,0,0,1,0,0
2000,4.5,15,6,4,1,1,0,0,0,0,0,0,1,0,0
2000,5.0,7,8,4,0,0,0,1,0,0,0,0,0,0,0
1000,4.8,165,26,5,0,1,1,0,0,0,0,0,1,0,1
700,5.0,31,20,4,0,1,0,0,0,0,0,0,1,0,0
1300,5.0,13,9,4,1,1,1,0,0,0,1,0,1,0,1
2000,5.0,40,17,4,0,1,0,0,0,0,0,0,1,0,0
1500,4.9,29,8,4,0,1,0,0,0,0,0,0,1,0,0
1500,5.0,8,8,4,0,1,1,0,0,0,0,0,1,0,0
1500,5.0,28,21,4,0,1,1,0,0,0,0,0,1,0,1
700,4.9,17,16,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.9,7,14,4,0,1,1,0,0,1,1,0,1,0,1
1000,5.0,26,19,4,0,1,0,0,0,0,0,0,1,0,0
700,4.9,66,14,4,0,1,0,0,0,0,0,1,0,0,0
1200,4.9,21,16,4,1,1,1,0,0,1,1,0,1,0,1
1500,4.8,17,9,4,0,1,0,0,0,0,0,1,0,0,0
1500,4.9,17,15,4,0,1,1,0,0,0,0,0,1,0,1
1700,4.9,56,18,4,0,1,1,0,0,0,0,0,1,0,1
1800,4.9,21,7,4,0,1,0,0,0,0,0,0,1,0,0
1700,5.0,23,14,4,0,1,1,0,0,0,1,0,1,0,1
1600,5.0,27,14,4,0,1,1,0,0,0,1,0,1,0,1
1300,4.9,22,44,4,0,1,0,0,0,0,0,0,1,0,0
1200,5.0,13,4,4,0,1,0,0,0,0,0,0,1,0,0
1500,5.0,17,2,1,0,1,0,0,0,0,0,0,1,0,0
1500,5.0,15,7,4,0,1,1,0,0,0,0,0,1,0,1
2500,4.9,18,8,4,0,1,0,0,0,0,0,0,1,0,1
2500,4.9,14,14,4,1,1,1,0,0,0,0,0,1,0,1
1000,4.6,30,35,4,0,1,1,0,0,0,1,0,1,0,1
1500,5.0,11,31,2,1,1,0,0,0,0,0,1,0,0,0
1100,5.0,23,5,3,0,1,0,0,0,0,0,0,1,0,1
1500,5.0,49,31,2,0,0,0,1,0,0,0,0,0,0,0
1600,4.8,17,9,4,0,1,0,0,0,0,0,0,1,0,0
1500,4.9,10,30,4,1,1,1,0,0,0,0,0,1,0,1
500,4.8,12,5,3,0,1,1,0,0,0,0,0,1,0,1
1500,4.9,100,12,4,0,1,1,0,0,0,0,0,1,0,1
1250,4.8,36,11,4,0,1,1,0,0,1,1,0,1,0,1
1700,4.9,27,25,5,0,1,0,0,0,0,0,0,1,0,1
1500,4.8,11,7,4,1,1,1,0,1,1,1,0,1,0,1
2500,5.0,21,20,4,0,1,1,0,0,0,0,0,1,0,0
1350,5.0,16,16,5,0,1,1,0,0,0,0,0,1,0,1
